x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,subset
"сократи дистанцию до коттеджа, который располагается рядом с авто, располагающимся сзади от пригорка",relation2,8,6,0,0,0,1,0,1,14,2,7,train
сократи дистанцию до препятствия за холмиком,relation1,7,6,0,0,0,12,0,2,7,0,0,train
тебе нужно подъехать к ближнему поваленному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,train
начинай поворачивать направо на два с половиной часа,hour,4,5,3,0,5,0,0,0,0,0,0,test
"сократи расстояние между собой и булыжником, располагающимся спереди от кучи, находящейся сзади от сваленного дерева",relation2,8,6,0,0,0,10,0,3,7,2,3,train
поезжай к близкому упавшему человеку,nearest,6,6,0,0,0,9,1,0,0,0,0,test
следуй  на 25М,meter,2,4,3,4,0,0,0,0,0,0,0,train
отправляйся к расщелине перед холмиком,relation1,7,6,0,0,0,8,0,3,7,0,0,train
"шагай к светильнику, который находится около дамы",relation1,7,6,0,0,0,13,0,1,6,0,0,train
начинай движение на северный край на 39 метров,meter,2,4,5,5,0,0,0,0,0,0,0,train
езжай на запад на 56M,meter,2,4,8,6,0,0,0,0,0,0,0,train
сократи расстояние между собой и лампой за чащей,relation1,7,6,0,0,0,13,0,2,4,0,0,train
"сократи расстояние между собой и женщиной, располагающейся слева от строения",relation1,7,6,0,0,0,6,0,4,1,0,0,train
"сократи расстояние между собой и дубом, который находится слева от столба",relation1,7,6,0,0,0,2,0,4,13,0,0,train
соверши поворот налево на 217 градусов,degree,3,5,4,0,15,0,0,0,0,0,0,train
"сократи расстояние между собой и товарищем спереди от валуна, который около авто",relation2,8,6,0,0,0,6,0,3,11,1,14,test
в сторону востока на 139 градусов,degree,3,5,7,0,9,0,0,0,0,0,0,train
заворачивай в восточную сторону на 240 градусов,degree,3,5,7,0,16,0,0,0,0,0,0,train
начинай поворачивать налево на 269 градусов,degree,3,5,4,0,18,0,0,0,0,0,0,train
начинай поворачивать в северную сторону на 129°,degree,3,5,5,0,9,0,0,0,0,0,0,train
беги к лесополосе,object,5,6,0,0,0,4,0,0,0,0,0,test
"отыщи ограждение, которое располагается левее леса, находящегося спереди от валуна",relation2,8,6,0,0,0,12,0,4,4,3,11,test
"отыщи даму правее берёзы, которая находится около булыжника",relation2,8,6,0,0,0,6,0,5,2,1,10,train
"сократи расстояние между собой и светильником, который находится слева от камушка",relation1,7,6,0,0,0,13,0,4,10,0,0,train
"сократи расстояние между собой и чащей, которая находится спереди от камня, который неподалеку от пьяного человека",relation2,8,6,0,0,0,4,0,3,10,1,9,train
"отыщи спиленное дерево, которое слева от валуна, который располагается левее разлома",relation2,8,6,0,0,0,3,0,4,11,4,8,train
"найди домик, располагающийся неподалеку от препятствия, находящегося правее деревца",relation2,8,6,0,0,0,1,0,1,12,5,2,train
сдай  на 42M,meter,2,4,3,6,0,0,0,0,0,0,0,train
"найди валун справа от женщины, которая располагается левее рощи",relation2,8,6,0,0,0,11,0,5,6,4,4,train
начинай поворачивать в западную сторону 69°,degree,3,5,8,0,5,0,0,0,0,0,0,test
"иди к лесу, который сзади от тачки, которая сзади от горки",relation2,8,6,0,0,0,4,0,2,14,2,7,train
"сократи дистанцию до лампы, находящейся левее сосны",relation1,7,6,0,0,0,13,0,4,2,0,0,train
соверши поворот на юг 111 градусов,degree,3,5,6,0,8,0,0,0,0,0,0,train
начинай поворачивать на западный край 323 градуса,degree,3,5,8,0,22,0,0,0,0,0,0,train
двигайся к железному коню,object,5,6,0,0,0,14,0,0,0,0,0,test
"поезжай к ребёнку, который рядом с булыгой",relation1,7,6,0,0,0,6,0,1,10,0,0,train
шагай к близлежащей горке,nearest,6,6,0,0,0,7,1,0,0,0,0,train
по правую руку на 174 °,degree,3,5,3,0,12,0,0,0,0,0,0,train
"сократи расстояние между собой и холмом, который находится правее провала",relation1,7,6,0,0,0,7,0,5,5,0,0,train
"сократи расстояние между собой и фонарём, располагающимся перед пьяным человеком",relation1,7,6,0,0,0,13,0,3,9,0,0,train
поворачивай на северный край на 500,hour,4,5,5,0,10,0,0,0,0,0,0,test
"отправляйся к канаве, которая располагается за дубом",relation1,7,6,0,0,0,5,0,2,2,0,0,test
начинай движение  44м,meter,2,4,3,6,0,0,0,0,0,0,0,train
"шагай к светильнику, который располагается сзади от преграды, которая располагается правее машины",relation2,8,6,0,0,0,13,0,2,12,5,14,train
"беги к упавшему дереву, которое располагается слева от преграды, которая находится левее столба",relation2,8,6,0,0,0,3,0,4,12,4,13,train
соверши поворот налево на один час 0 минут,hour,4,5,4,0,2,0,0,0,0,0,0,test
езжай напрямик 85M,meter,2,4,1,7,0,0,0,0,0,0,0,train
топай к близкому фонарю,nearest,6,6,0,0,0,13,1,0,0,0,0,train
"найди дубраву, которая находится сзади от избы",relation1,7,6,0,0,0,4,0,2,1,0,0,test
начинай поворачивать в правую сторону на час 0 минут,hour,4,5,3,0,2,0,0,0,0,0,0,test
"беги к авто, располагающемуся рядом с упавшим человеком слева от растения",relation2,8,6,0,0,0,14,0,1,9,4,2,train
"сократи расстояние между собой и столбом, который спереди от рощи",relation1,7,6,0,0,0,13,0,3,4,0,0,test
повернись на север на 269 градусов,degree,3,5,5,0,18,0,0,0,0,0,0,train
отправляйся в сторону севера на 47М,meter,2,4,5,6,0,0,0,0,0,0,0,train
сократи дистанцию до ближней постройки,nearest,6,6,0,0,0,1,1,0,0,0,0,train
поворачивай в западную сторону 9:30,hour,4,5,8,0,19,0,0,0,0,0,0,train
"сократи дистанцию до бугра, находящегося правее деревца, которое располагается сзади от лампы",relation2,8,6,0,0,0,7,0,5,2,2,13,train
"сократи дистанцию до человека, который находится неподалеку от горы",relation1,7,6,0,0,0,6,0,1,7,0,0,test
сократи расстояние между собой и валуном правее упавшего человека спереди от фонаря,relation2,8,6,0,0,0,11,0,5,9,3,13,train
"отыщи авто за свалившимся человеком, который находится правее рытвины",relation2,8,6,0,0,0,14,0,2,9,5,5,train
поворачивай в западную сторону 3 часа 0 минут,hour,4,5,8,0,6,0,0,0,0,0,0,train
"следуй к трещине, которая располагается спереди от свалившегося человека, находящегося позади дубравы",relation2,8,6,0,0,0,8,0,3,9,2,4,train
иди к деревцу,object,5,6,0,0,0,2,0,0,0,0,0,train
"сократи расстояние между собой и камушком, находящимся правее разрыва, который располагается справа от бугра",relation2,8,6,0,0,0,10,0,5,8,5,7,train
сделай поворот в правую сторону четыре с половиной часа,hour,4,5,3,0,9,0,0,0,0,0,0,train
"сократи расстояние между собой и валуном, который располагается спереди от мужчины левее здания",relation2,8,6,0,0,0,11,0,3,6,4,1,train
"топай к камню, который располагается перед упавшим деревом, находящимся справа от дамы",relation2,8,6,0,0,0,10,0,3,3,5,6,train
отыщи близкий светильник,nearest,6,6,0,0,0,13,1,0,0,0,0,test
сделай поворот  3:30,hour,4,5,3,0,7,0,0,0,0,0,0,train
двигайся к зданию позади автомобиля,relation1,7,6,0,0,0,1,0,2,14,0,0,train
"сократи дистанцию до кучи, располагающейся позади загородки за поваленным деревом",relation2,8,6,0,0,0,7,0,2,12,2,3,train
"сократи дистанцию до сваленного дерева, которое за тачкой",relation1,7,6,0,0,0,3,0,2,14,0,0,train
"сократи расстояние между собой и пригорком, находящимся спереди от ямы слева от здания",relation2,8,6,0,0,0,7,0,3,5,4,1,test
сделай поворот по правую руку пять с половиной часов,hour,4,5,3,0,11,0,0,0,0,0,0,test
соверши поворот в восточную сторону на 200,hour,4,5,7,0,4,0,0,0,0,0,0,train
"соверши поворот в правую сторону 10,5 часов",hour,4,5,3,0,21,0,0,0,0,0,0,train
"сократи расстояние между собой и лампой, находящейся правее валуна, который располагается левее пьяного человека",relation2,8,6,0,0,0,13,0,5,11,4,9,train
топай к близлежащему камню,nearest,6,6,0,0,0,10,1,0,0,0,0,train
шагай к близлежащему ребёнку,nearest,6,6,0,0,0,6,1,0,0,0,0,test
топай на западный край 2м,meter,2,4,8,1,0,0,0,0,0,0,0,train
шагай к сломанному дереву,object,5,6,0,0,0,3,0,0,0,0,0,train
направляйся напролом на 28m,meter,2,4,1,4,0,0,0,0,0,0,0,test
"найди коттедж, находящийся около преграды",relation1,7,6,0,0,0,1,0,1,12,0,0,train
"тебе нужно подъехать к бугру перед упавшим человеком, находящимся правее разрыва",relation2,8,6,0,0,0,7,0,3,9,5,8,train
топай к авто позади впадины,relation1,7,6,0,0,0,14,0,2,5,0,0,train
беги к даме слева от препятствия,relation1,7,6,0,0,0,6,0,4,12,0,0,train
тебе нужно подъехать к горе левее сломанного дерева,relation1,7,6,0,0,0,7,0,4,3,0,0,train
отправляйся на юг 31м,meter,2,4,6,5,0,0,0,0,0,0,0,train
направляйся по левую руку на 60м,meter,2,4,4,6,0,0,0,0,0,0,0,test
сократи расстояние между собой и женщиной спереди от расщелины рядом с лежащим человеком,relation2,8,6,0,0,0,6,0,3,8,1,9,train
соверши поворот в левую сторону 107 °,degree,3,5,4,0,7,0,0,0,0,0,0,test
беги к ближайшему лежащему человеку,nearest,6,6,0,0,0,9,1,0,0,0,0,test
отправляйся в сторону севера 64 м,meter,2,4,5,7,0,0,0,0,0,0,0,train
беги к останцу перед лампой,relation1,7,6,0,0,0,11,0,3,13,0,0,train
"сократи расстояние между собой и пьяным человеком, находящимся правее горы",relation1,7,6,0,0,0,9,0,5,7,0,0,train
"сократи дистанцию до строения, которое слева от пригорка, находящегося слева от препятствия",relation2,8,6,0,0,0,1,0,4,7,4,12,test
заворачивай на южный край 203 °,degree,3,5,6,0,14,0,0,0,0,0,0,train
"сократи дистанцию до оврага, который находится правее горы",relation1,7,6,0,0,0,5,0,5,7,0,0,train
"сократи дистанцию до ямы сзади от постройки, находящейся перед дубом",relation2,8,6,0,0,0,5,0,2,1,3,2,train
"шагай к фонарю, находящемуся перед оврагом, который справа от холмика",relation2,8,6,0,0,0,13,0,3,5,5,7,train
начинай движение вспять 13M,meter,2,4,2,3,0,0,0,0,0,0,0,train
поезжай к ближнему камню,nearest,6,6,0,0,0,10,1,0,0,0,0,train
шагай к столбу,object,5,6,0,0,0,13,0,0,0,0,0,train
"сократи дистанцию до лесополосы, которая находится слева от железного коня",relation1,7,6,0,0,0,4,0,4,14,0,0,train
"сократи дистанцию до рощи, которая располагается слева от булыги, располагающейся правее ребёнка",relation2,8,6,0,0,0,4,0,4,10,5,6,train
"найди лесополосу сзади от сваленного дерева, которое рядом с светом",relation2,8,6,0,0,0,4,0,2,3,1,13,train
"сократи расстояние между собой и ольхой, которая располагается позади леса, находящегося неподалеку от возвышенности",relation2,8,6,0,0,0,2,0,2,4,1,7,test
направляйся к ближайшей горке,nearest,6,6,0,0,0,7,1,0,0,0,0,train
заворачивай в южную сторону 7 с половиной часов,hour,4,5,6,0,15,0,0,0,0,0,0,test
повернись в правую сторону на 8 с половиной часов,hour,4,5,3,0,17,0,0,0,0,0,0,test
отправляйся к ближнему дубу,nearest,6,6,0,0,0,2,1,0,0,0,0,test
"отыщи даму, располагающуюся спереди от холмика, располагающегося справа от особняка",relation2,8,6,0,0,0,6,0,3,7,5,1,train
"сократи расстояние между собой и дамой, которая левее дубравы, находящейся позади ограждения",relation2,8,6,0,0,0,6,0,4,4,2,12,train
сделай поворот по левую руку на 10:00,hour,4,5,4,0,20,0,0,0,0,0,0,train
отправляйся к сломанному дереву слева от железного коня,relation1,7,6,0,0,0,3,0,4,14,0,0,train
"найди камень, находящийся неподалеку от авто, которое находится правее сваленного дерева",relation2,8,6,0,0,0,10,0,1,14,5,3,train
сделай поворот в западную сторону 128°,degree,3,5,8,0,9,0,0,0,0,0,0,train
"поезжай к тачке неподалеку от булыги, находящейся спереди от дерева",relation2,8,6,0,0,0,14,0,1,10,3,2,train
"тебе нужно подъехать к авто, которое находится слева от оврага, который слева от фонаря",relation2,8,6,0,0,0,14,0,4,5,4,13,train
начинай поворачивать в сторону востока на 12:00 0 минут,hour,4,5,7,0,24,0,0,0,0,0,0,train
начинай поворачивать в сторону севера на 300,hour,4,5,5,0,6,0,0,0,0,0,0,train
"сократи дистанцию до препятствия, находящегося за камнем левее свалившегося человека",relation2,8,6,0,0,0,12,0,2,10,4,9,test
поезжай к загородке,object,5,6,0,0,0,12,0,0,0,0,0,train
следуй вперед,direction,1,2,1,0,0,0,0,0,0,0,0,train
"беги к сосне, которая сзади от светильника правее автомобиля",relation2,8,6,0,0,0,2,0,2,13,5,14,train
соверши поворот по левую руку 44 °,degree,3,5,4,0,3,0,0,0,0,0,0,train
отыщи кучу слева от срубленного дерева рядом с берёзой,relation2,8,6,0,0,0,7,0,4,3,1,2,train
"сократи дистанцию до свалившегося человека, который находится слева от рощи",relation1,7,6,0,0,0,9,0,4,4,0,0,train
"повернись направо 5,5 часов",hour,4,5,3,0,11,0,0,0,0,0,0,train
поезжай  64 м,meter,2,4,1,7,0,0,0,0,0,0,0,train
начинай поворачивать на южный край 1:00,hour,4,5,6,0,2,0,0,0,0,0,0,train
"найди загородку, которая справа от свалившегося человека",relation1,7,6,0,0,0,12,0,5,9,0,0,train
"сократи дистанцию до светильника слева от оврага, располагающегося спереди от расщелины",relation2,8,6,0,0,0,13,0,4,5,3,8,test
шагай в западную сторону на 66M,meter,2,4,8,7,0,0,0,0,0,0,0,train
иди направо,direction,1,2,3,0,0,0,0,0,0,0,0,train
"двигайся к холму, располагающемуся спереди от тачки",relation1,7,6,0,0,0,7,0,3,14,0,0,train
"отправляйся к упавшему человеку, который рядом с дубом",relation1,7,6,0,0,0,9,0,1,2,0,0,train
"сократи дистанцию до автомобиля, который правее расщелины",relation1,7,6,0,0,0,14,0,5,8,0,0,train
"сократи дистанцию до строения, которое находится перед лесом",relation1,7,6,0,0,0,1,0,3,4,0,0,train
"сократи расстояние между собой и светом, который правее автомобиля",relation1,7,6,0,0,0,13,0,5,14,0,0,test
сократи дистанцию до дерева,object,5,6,0,0,0,2,0,0,0,0,0,train
"сократи расстояние между собой и автомобилем, находящимся спереди от дамы, которая левее упавшего дерева",relation2,8,6,0,0,0,14,0,3,6,4,3,test
"сократи дистанцию до возвышенности, которая располагается правее валуна",relation1,7,6,0,0,0,7,0,5,11,0,0,train
начинай поворачивать по левую руку на 74 градуса,degree,3,5,4,0,5,0,0,0,0,0,0,train
найди камушек правее холмика,relation1,7,6,0,0,0,10,0,5,7,0,0,test
сделай поворот на южный край 308 °,degree,3,5,6,0,21,0,0,0,0,0,0,train
"сократи дистанцию до домика рядом с трещиной, которая рядом с растением",relation2,8,6,0,0,0,1,0,1,8,1,2,train
сделай поворот влево 141 °,degree,3,5,4,0,10,0,0,0,0,0,0,train
"сократи дистанцию до горы, которая слева от дерева",relation1,7,6,0,0,0,7,0,4,2,0,0,train
сократи дистанцию до разлома слева от канавы,relation1,7,6,0,0,0,8,0,4,5,0,0,train
"сократи расстояние между собой и фонарём, располагающимся перед ограждением позади лежащего человека",relation2,8,6,0,0,0,13,0,3,12,2,9,train
"сократи расстояние между собой и загородкой, которая за возвышенностью, которая располагается перед пьяным человеком",relation2,8,6,0,0,0,12,0,2,7,3,9,train
повернись на юг 323 °,degree,3,5,6,0,22,0,0,0,0,0,0,test
отыщи близлежащую чащу,nearest,6,6,0,0,0,4,1,0,0,0,0,train
начинай поворачивать вправо на 72 градуса,degree,3,5,3,0,5,0,0,0,0,0,0,test
поворачивай  на 356 °,degree,3,5,3,0,24,0,0,0,0,0,0,train
"сократи дистанцию до холма левее дубравы, которая находится справа от упавшего человека",relation2,8,6,0,0,0,7,0,4,4,5,9,test
"шагай к трещине, которая перед лежащим человеком",relation1,7,6,0,0,0,8,0,3,9,0,0,train
"найди даму, которая справа от камушка спереди от постройки",relation2,8,6,0,0,0,6,0,5,10,3,1,test
топай вспять 72m,meter,2,4,2,7,0,0,0,0,0,0,0,train
"направляйся к ограждению, располагающемуся спереди от разрыва",relation1,7,6,0,0,0,12,0,3,8,0,0,train
сократи дистанцию до рощи спереди от кучи,relation1,7,6,0,0,0,4,0,3,7,0,0,train
"начинай поворачивать  7,5 часов",hour,4,5,3,0,15,0,0,0,0,0,0,train
"езжай к фонарю, находящемуся перед особняком, который находится неподалеку от ограждения",relation2,8,6,0,0,0,13,0,3,1,1,12,train
"найди возвышенность, которая располагается перед рытвиной, находящейся около препятствия",relation2,8,6,0,0,0,7,0,3,5,1,12,train
повернись на северный край на 1 час 30 минут,hour,4,5,5,0,3,0,0,0,0,0,0,train
следуй к чаще слева от валуна,relation1,7,6,0,0,0,4,0,4,11,0,0,train
сократи дистанцию до лампы перед упавшим человеком,relation1,7,6,0,0,0,13,0,3,9,0,0,train
"найди тачку, которая располагается спереди от разлома, который располагается неподалеку от упавшего дерева",relation2,8,6,0,0,0,14,0,3,8,1,3,train
отправляйся  33М,meter,2,4,1,5,0,0,0,0,0,0,0,train
езжай к близкому барьеру,nearest,6,6,0,0,0,12,1,0,0,0,0,train
топай к человеку,object,5,6,0,0,0,6,0,0,0,0,0,train
"сократи расстояние между собой и берёзой, которая располагается неподалеку от сломанного дерева, располагающегося перед мужчиной",relation2,8,6,0,0,0,2,0,1,3,3,6,test
начинай движение прямо,direction,1,2,1,0,0,0,0,0,0,0,0,train
топай в правую сторону 11 м,meter,2,4,3,3,0,0,0,0,0,0,0,train
"отыщи берёзу, находящуюся сзади от останца, который левее постройки",relation2,8,6,0,0,0,2,0,2,11,4,1,test
тебе нужно подъехать к близлежащему спиленному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,train
повернись в сторону запада два с половиной часа,hour,4,5,8,0,5,0,0,0,0,0,0,train
"следуй к свету, который рядом с дубравой",relation1,7,6,0,0,0,13,0,1,4,0,0,test
"сократи дистанцию до спиленного дерева, находящегося сзади от лежащего человека, который располагается правее дерева",relation2,8,6,0,0,0,3,0,2,9,5,2,train
сократи дистанцию до пьяного человека,object,5,6,0,0,0,9,0,0,0,0,0,test
начинай поворачивать направо 33°,degree,3,5,3,0,2,0,0,0,0,0,0,train
"найди яму, которая располагается перед булыжником левее пьяного человека",relation2,8,6,0,0,0,5,0,3,10,4,9,test
сделай поворот на запад на 17 градусов,degree,3,5,8,0,1,0,0,0,0,0,0,train
в левую сторону на 900,hour,4,5,4,0,18,0,0,0,0,0,0,train
соверши поворот налево на 30°,degree,3,5,4,0,2,0,0,0,0,0,0,train
"сократи дистанцию до женщины, которая спереди от постройки, которая перед расщелиной",relation2,8,6,0,0,0,6,0,3,1,3,8,train
"сократи дистанцию до дома, который располагается правее женщины",relation1,7,6,0,0,0,1,0,5,6,0,0,test
соверши поворот в правую сторону час,hour,4,5,3,0,2,0,0,0,0,0,0,train
сократи расстояние между собой и фонарём правее машины,relation1,7,6,0,0,0,13,0,5,14,0,0,test
"сократи расстояние между собой и ребёнком, который находится спереди от строения, которое около валуна",relation2,8,6,0,0,0,6,0,3,1,1,11,train
"иди к пьяному человеку, который располагается за камушком",relation1,7,6,0,0,0,9,0,2,10,0,0,train
поворачивай по правую руку на 8:30,hour,4,5,3,0,17,0,0,0,0,0,0,train
поворачивай на восточный край 9:30,hour,4,5,7,0,19,0,0,0,0,0,0,test
"найди лежащего человека, который располагается перед домом, располагающимся сзади от останца",relation2,8,6,0,0,0,9,0,3,1,2,11,train
"сократи расстояние между собой и спиленным деревом, которое левее камушка, располагающегося справа от трещины",relation2,8,6,0,0,0,3,0,4,10,5,8,train
двигайся к близкому домику,nearest,6,6,0,0,0,1,1,0,0,0,0,train
"сократи расстояние между собой и преградой, располагающейся сзади от холмика, который позади сломанного дерева",relation2,8,6,0,0,0,12,0,2,7,2,3,train
отыщи ближнюю гору,nearest,6,6,0,0,0,7,1,0,0,0,0,train
отправляйся к ближайшей горе,nearest,6,6,0,0,0,7,1,0,0,0,0,train
"найди лампу справа от постройки, которая располагается слева от лежащего человека",relation2,8,6,0,0,0,13,0,5,1,4,9,test
сократи расстояние между собой и товарищем,object,5,6,0,0,0,6,0,0,0,0,0,train
"сократи дистанцию до света, который располагается неподалеку от мужчины",relation1,7,6,0,0,0,13,0,1,6,0,0,train
"сократи дистанцию до ограждения, которое находится за лампой",relation1,7,6,0,0,0,12,0,2,13,0,0,train
двигайся к близкой канаве,nearest,6,6,0,0,0,5,1,0,0,0,0,test
сократи расстояние между собой и близлежащей ямой,nearest,6,6,0,0,0,5,1,0,0,0,0,train
тебе нужно подъехать к близкому останцу,nearest,6,6,0,0,0,11,1,0,0,0,0,train
иди к светильнику спереди от строения,relation1,7,6,0,0,0,13,0,3,1,0,0,train
"сократи дистанцию до лесополосы рядом с упавшим человеком, который располагается левее валуна",relation2,8,6,0,0,0,4,0,1,9,4,11,train
сократи дистанцию до валуна слева от поваленного дерева,relation1,7,6,0,0,0,11,0,4,3,0,0,train
найди ближнее авто,nearest,6,6,0,0,0,14,1,0,0,0,0,train
"отправляйся к свету, располагающемуся левее дерева",relation1,7,6,0,0,0,13,0,4,2,0,0,test
шагай в сторону запада 19 метров,meter,2,4,8,3,0,0,0,0,0,0,0,train
"сократи расстояние между собой и фонарём, который располагается левее разрыва",relation1,7,6,0,0,0,13,0,4,8,0,0,train
"двигайся к дому, находящемуся за разрывом",relation1,7,6,0,0,0,1,0,2,8,0,0,test
на южный край 98 градусов,degree,3,5,6,0,7,0,0,0,0,0,0,train
"отправляйся к мужчине справа от постройки, которая находится за бугром",relation2,8,6,0,0,0,6,0,5,1,2,7,train
поворачивай налево 0:30,hour,4,5,4,0,1,0,0,0,0,0,0,train
поворачивай на юг 110 градусов,degree,3,5,6,0,8,0,0,0,0,0,0,train
беги к ближайшему свету,nearest,6,6,0,0,0,13,1,0,0,0,0,test
поворачивай на западный край 282°,degree,3,5,8,0,19,0,0,0,0,0,0,train
"поезжай к камушку, располагающемуся левее валуна, который левее свалившегося человека",relation2,8,6,0,0,0,10,0,4,11,4,9,train
"двигайся к упавшему дереву, располагающемуся позади железного коня позади упавшего человека",relation2,8,6,0,0,0,3,0,2,14,2,9,train
иди к ближайшей загородке,nearest,6,6,0,0,0,12,1,0,0,0,0,train
повернись в сторону юга 3 часа 0 минут,hour,4,5,6,0,6,0,0,0,0,0,0,train
"найди валун, который располагается позади дамы",relation1,7,6,0,0,0,11,0,2,6,0,0,test
езжай на северный край 40m,meter,2,4,5,5,0,0,0,0,0,0,0,train
заворачивай в западную сторону 4 часа 0 минут,hour,4,5,8,0,8,0,0,0,0,0,0,test
езжай к близлежащему ограждению,nearest,6,6,0,0,0,12,1,0,0,0,0,train
соверши поворот  335°,degree,3,5,3,0,23,0,0,0,0,0,0,train
"найди рощу, которая спереди от деревца левее коттеджа",relation2,8,6,0,0,0,4,0,3,2,4,1,train
"шагай к свету, который находится неподалеку от холма слева от спиленного дерева",relation2,8,6,0,0,0,13,0,1,7,4,3,train
начинай поворачивать на западный край на 286°,degree,3,5,8,0,19,0,0,0,0,0,0,train
направляйся в сторону юга на 84 м,meter,2,4,6,7,0,0,0,0,0,0,0,train
"сократи расстояние между собой и автомобилем, который находится около постройки",relation1,7,6,0,0,0,14,0,1,1,0,0,test
"сократи расстояние между собой и светильником, который находится слева от дубравы, которая располагается справа от булыги",relation2,8,6,0,0,0,13,0,4,4,5,10,test
начинай поворачивать на восток на 13 градусов,degree,3,5,7,0,1,0,0,0,0,0,0,train
езжай к провалу,object,5,6,0,0,0,5,0,0,0,0,0,train
следуй к ближайшему столбу,nearest,6,6,0,0,0,13,1,0,0,0,0,test
"сократи расстояние между собой и спиленным деревом, которое находится спереди от дубравы",relation1,7,6,0,0,0,3,0,3,4,0,0,train
"сократи дистанцию до берёзы рядом с ямой, которая сзади от леса",relation2,8,6,0,0,0,2,0,1,5,2,4,train
"сократи расстояние между собой и пьяным человеком, находящимся слева от светильника",relation1,7,6,0,0,0,9,0,4,13,0,0,train
"найди тачку, находящуюся справа от холмика неподалеку от булыжника",relation2,8,6,0,0,0,14,0,5,7,1,10,train
"сократи расстояние между собой и столбом, находящимся за деревцем, которое за холмиком",relation2,8,6,0,0,0,13,0,2,2,2,7,test
сдай  на 20 метров,meter,2,4,1,3,0,0,0,0,0,0,0,test
беги к ближайшему упавшему человеку,nearest,6,6,0,0,0,9,1,0,0,0,0,test
в правую сторону на 8 с половиной часов,hour,4,5,3,0,17,0,0,0,0,0,0,train
езжай в западную сторону 96М,meter,2,4,8,8,0,0,0,0,0,0,0,train
найди сломанное дерево позади светильника,relation1,7,6,0,0,0,3,0,2,13,0,0,test
найди ольху спереди от дамы левее чащи,relation2,8,6,0,0,0,2,0,3,6,4,4,train
"поезжай к тачке, которая находится рядом с чащей",relation1,7,6,0,0,0,14,0,1,4,0,0,train
"сократи расстояние между собой и чащей, которая неподалеку от разлома",relation1,7,6,0,0,0,4,0,1,8,0,0,test
тебе нужно подъехать к близлежащей горе,nearest,6,6,0,0,0,7,1,0,0,0,0,train
"следуй к бугру, который позади лампы",relation1,7,6,0,0,0,7,0,2,13,0,0,train
на западный край на 11:30,hour,4,5,8,0,23,0,0,0,0,0,0,train
"сократи расстояние между собой и авто, располагающимся сзади от здания",relation1,7,6,0,0,0,14,0,2,1,0,0,test
сократи дистанцию до берёзы позади оврага,relation1,7,6,0,0,0,2,0,2,5,0,0,train
"сократи расстояние между собой и сломанным деревом, которое находится рядом с растением",relation1,7,6,0,0,0,3,0,1,2,0,0,train
сократи расстояние между собой и ближайшим камнем,nearest,6,6,0,0,0,10,1,0,0,0,0,train
"сократи дистанцию до сваленного дерева, находящегося справа от света",relation1,7,6,0,0,0,3,0,5,13,0,0,train
"сократи расстояние между собой и автомобилем, находящимся неподалеку от сломанного дерева",relation1,7,6,0,0,0,14,0,1,3,0,0,train
"сократи дистанцию до машины рядом с упавшим человеком, который находится рядом с горой",relation2,8,6,0,0,0,14,0,1,9,1,7,test
беги к близлежащему барьеру,nearest,6,6,0,0,0,12,1,0,0,0,0,test
сократи расстояние между собой и канавой перед ребёнком,relation1,7,6,0,0,0,5,0,3,6,0,0,test
"сократи расстояние между собой и машиной, находящейся рядом с разрывом, располагающимся правее чащи",relation2,8,6,0,0,0,14,0,1,8,5,4,test
в северную сторону на 1:00,hour,4,5,5,0,2,0,0,0,0,0,0,train
"отыщи расщелину, которая за провалом",relation1,7,6,0,0,0,8,0,2,5,0,0,train
"сократи дистанцию до валуна перед бугром, который сзади от леса",relation2,8,6,0,0,0,11,0,3,7,2,4,train
начинай поворачивать по правую руку 67 градусов,degree,3,5,3,0,5,0,0,0,0,0,0,train
начинай поворачивать в южную сторону на 130°,degree,3,5,6,0,9,0,0,0,0,0,0,train
"сократи дистанцию до света, который находится сзади от пьяного человека",relation1,7,6,0,0,0,13,0,2,9,0,0,train
"следуй к трещине, располагающейся справа от женщины",relation1,7,6,0,0,0,8,0,5,6,0,0,train
заворачивай налево на 184°,degree,3,5,4,0,12,0,0,0,0,0,0,test
"сократи расстояние между собой и трещиной, которая находится справа от сваленного дерева",relation1,7,6,0,0,0,8,0,5,3,0,0,train
сократи дистанцию до машины левее камушка правее мужчины,relation2,8,6,0,0,0,14,0,4,10,5,6,train
"двигайся к останцу, который правее железного коня",relation1,7,6,0,0,0,11,0,5,14,0,0,train
направляйся к булыжнику,object,5,6,0,0,0,10,0,0,0,0,0,train
сократи расстояние между собой и булыгой справа от поваленного дерева левее валуна,relation2,8,6,0,0,0,10,0,5,3,4,11,train
заворачивай в правую сторону на 116°,degree,3,5,3,0,8,0,0,0,0,0,0,train
"сократи дистанцию до спиленного дерева, которое спереди от фонаря",relation1,7,6,0,0,0,3,0,3,13,0,0,train
поворачивай на восток на 189°,degree,3,5,7,0,13,0,0,0,0,0,0,test
"иди к разлому, который располагается справа от леса, который рядом с лежащим человеком",relation2,8,6,0,0,0,8,0,5,4,1,9,train
"тебе нужно подъехать к расщелине позади ребёнка, который располагается слева от строения",relation2,8,6,0,0,0,8,0,2,6,4,1,train
