x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,self,gaze,type,subset,fold
начинай поворачивать 314°,degree,3,5,3,0,21,0,0,0,0,0,0,0,0,generator,train,-1
начинай заворчивать на запад на 228 °,degree,3,5,8,0,15,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот вправо 123 °,degree,3,5,3,0,8,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 261 ° вправо,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 21 градус,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,train,-1
повернись 176 °,degree,3,5,3,0,12,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на северный край 86°,degree,3,5,5,0,6,0,0,0,0,0,0,0,0,generator,train,-1
начни заворчивать 174 °,degree,3,5,3,0,12,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать 185 градусов,degree,3,5,3,0,13,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот на 347 °,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на восточный край 33 градуса,degree,3,5,7,0,2,0,0,0,0,0,0,0,0,generator,valid,-1
поворачивай на 234°,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 185 градусов в восточную сторону,degree,3,5,7,0,13,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в южную сторону на 20 °,degree,3,5,6,0,1,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать 24 °,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,train,-1
повернись 244 °,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,valid,-1
заворчивай на 190 градусов в западную сторону,degree,3,5,8,0,13,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 260 °,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 213 градусов на восточный край,degree,3,5,7,0,14,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот на восточный край на 58°,degree,3,5,7,0,4,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в южную сторону 331°,degree,3,5,6,0,22,0,0,0,0,0,0,0,0,generator,train,-1
повернись направо на 179°,degree,3,5,3,0,12,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 91 градус,degree,3,5,3,0,6,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 67° на юг,degree,3,5,6,0,5,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай в правую сторону на 347°,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 185°,degree,3,5,3,0,13,0,0,0,0,0,0,0,0,generator,train,-1
повернись в левую сторону на 82 градуса,degree,3,5,4,0,6,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в восточную сторону 204 градуса,degree,3,5,7,0,14,0,0,0,0,0,0,0,0,generator,valid,-1
пытайся заворчивать 108 °,degree,3,5,3,0,7,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 13°,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,train,-1
начни заворчивать на 335°,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
пытайся поворачивать на 79 °,degree,3,5,3,0,5,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай 42 градуса в сторону востока,degree,3,5,7,0,3,0,0,0,0,0,0,0,0,generator,train,-1
начинай заворчивать на северный край на 192°,degree,3,5,5,0,13,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай 229 ° по левую руку,degree,3,5,4,0,15,0,0,0,0,0,0,0,0,generator,train,-1
повернись в южную сторону на 346 градусов,degree,3,5,6,0,23,0,0,0,0,0,0,0,0,generator,train,-1
пытайся поворачивать 259 градусов,degree,3,5,3,0,17,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 201 ° в сторону севера,degree,3,5,5,0,14,0,0,0,0,0,0,0,0,generator,valid,-1
повернись 224° в западную сторону,degree,3,5,8,0,15,0,0,0,0,0,0,0,0,generator,valid,-1
повернись 336° в западную сторону,degree,3,5,8,0,23,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать 231 ° направо,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на восточный край на 254 градуса,degree,3,5,7,0,17,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 161° на восток,degree,3,5,7,0,11,0,0,0,0,0,0,0,0,generator,train,-1
повернись 95°,degree,3,5,3,0,7,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать на 309° в сторону юга,degree,3,5,6,0,21,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в сторону юга на 24 °,degree,3,5,6,0,1,0,0,0,0,0,0,0,0,generator,valid,-1
начинай поворачивать на 103 градуса на южный край,degree,3,5,6,0,7,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать на 65 ° вправо,degree,3,5,3,0,5,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 60 °,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот вправо на 61 градус,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай 251°,degree,3,5,3,0,17,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 354 °,degree,3,5,3,0,24,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать в правую сторону 250 °,degree,3,5,3,0,17,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай в восточную сторону 280°,degree,3,5,7,0,19,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 341 градус налево,degree,3,5,4,0,23,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 315 градусов,degree,3,5,3,0,21,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 196 градусов в западную сторону,degree,3,5,8,0,13,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот 166 градусов в северную сторону,degree,3,5,5,0,11,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 201° на север,degree,3,5,5,0,14,0,0,0,0,0,0,0,0,generator,train,-1
пытайся поворачивать в западную сторону на 116°,degree,3,5,8,0,8,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 347°,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 118 ° на северный край,degree,3,5,5,0,8,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 286 градусов,degree,3,5,3,0,19,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 171 ° на север,degree,3,5,5,0,12,0,0,0,0,0,0,0,0,generator,valid,-1
повернись в сторону запада на 340 °,degree,3,5,8,0,23,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 50°,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 96° на юг,degree,3,5,6,0,7,0,0,0,0,0,0,0,0,generator,train,-1
повернись 143 °,degree,3,5,3,0,10,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 93°,degree,3,5,3,0,6,0,0,0,0,0,0,0,0,generator,train,-1
попробуй заворчивать на 106° на восточный край,degree,3,5,7,0,7,0,0,0,0,0,0,0,0,generator,valid,-1
поворачивай 76°,degree,3,5,3,0,5,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 151° на запад,degree,3,5,8,0,10,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот 221 °,degree,3,5,3,0,15,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 148 градусов на восточный край,degree,3,5,7,0,10,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 204 градуса в сторону севера,degree,3,5,5,0,14,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать 65° в западную сторону,degree,3,5,8,0,5,0,0,0,0,0,0,0,0,generator,train,-1
попробуй заворчивать 305°,degree,3,5,3,0,21,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 11 °,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать на 53° на запад,degree,3,5,8,0,4,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй поворачивать на 93° на южный край,degree,3,5,6,0,6,0,0,0,0,0,0,0,0,generator,train,-1
повернись на юг 162 °,degree,3,5,6,0,11,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в правую сторону 266 градусов,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
повернись в сторону востока на 169 градусов,degree,3,5,7,0,11,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот на 62 ° по левую руку,degree,3,5,4,0,4,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 92 °,degree,3,5,3,0,6,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 281° на север,degree,3,5,5,0,19,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай налево 110 °,degree,3,5,4,0,8,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать 232 градуса в сторону востока,degree,3,5,7,0,16,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 147 градусов в северную сторону,degree,3,5,5,0,10,0,0,0,0,0,0,0,0,generator,valid,-1
начни поворачивать 308°,degree,3,5,3,0,21,0,0,0,0,0,0,0,0,generator,valid,-1
повернись на запад на 313 градусов,degree,3,5,8,0,21,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 63°,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на южный край 142 градуса,degree,3,5,6,0,10,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать в северную сторону на 81 градус,degree,3,5,5,0,6,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 263°,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 326 ° на юг,degree,3,5,6,0,22,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 286 ° в западную сторону,degree,3,5,8,0,19,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на 278 градусов,degree,3,5,3,0,19,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 296 градусов,degree,3,5,3,0,20,0,0,0,0,0,0,0,0,generator,valid,-1
повернись на 115 градусов в левую сторону,degree,3,5,4,0,8,0,0,0,0,0,0,0,0,generator,train,-1
начинай заворчивать на 51 ° по правую руку,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в южную сторону 356 °,degree,3,5,6,0,24,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот 33 градуса,degree,3,5,3,0,2,0,0,0,0,0,0,0,0,generator,valid,-1
поворачивай на южный край на 190 градусов,degree,3,5,6,0,13,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на северный край 194 °,degree,3,5,5,0,13,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот по правую руку 270°,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
пытайся поворачивать на 348 градусов в сторону юга,degree,3,5,6,0,23,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 234 градуса в западную сторону,degree,3,5,8,0,16,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать 161 ° в западную сторону,degree,3,5,8,0,11,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать 323 ° вправо,degree,3,5,3,0,22,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 194°,degree,3,5,3,0,13,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 73 градуса,degree,3,5,3,0,5,0,0,0,0,0,0,0,0,generator,train,-1
начни заворчивать на 132 градуса в западную сторону,degree,3,5,8,0,9,0,0,0,0,0,0,0,0,generator,train,-1
начни поворачивать на 156°,degree,3,5,3,0,11,0,0,0,0,0,0,0,0,generator,train,-1
повернись в западную сторону 305 °,degree,3,5,8,0,21,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 143°,degree,3,5,3,0,10,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать в сторону востока 97 градусов,degree,3,5,7,0,7,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот в левую сторону на 350 °,degree,3,5,4,0,24,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот вправо на 234 °,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,train,-1
повернись 218 градусов в правую сторону,degree,3,5,3,0,15,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 239 °,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на запад 101°,degree,3,5,8,0,7,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот по правую руку на 59 градусов,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать в левую сторону 193 °,degree,3,5,4,0,13,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот в западную сторону на 138 °,degree,3,5,8,0,9,0,0,0,0,0,0,0,0,generator,valid,-1
начни заворчивать на восток на 274 градуса,degree,3,5,7,0,18,0,0,0,0,0,0,0,0,generator,valid,-1
поворачивай на 161 ° влево,degree,3,5,4,0,11,0,0,0,0,0,0,0,0,generator,valid,-1
поворачивай 330 градусов в правую сторону,degree,3,5,3,0,22,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот налево 151°,degree,3,5,4,0,10,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот в южную сторону 105°,degree,3,5,6,0,7,0,0,0,0,0,0,0,0,generator,valid,-1
пытайся заворчивать 119 градусов,degree,3,5,3,0,8,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот 198 ° на восток,degree,3,5,7,0,13,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 202°,degree,3,5,3,0,14,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 239 градусов по правую руку,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,valid,-1
повернись на 182°,degree,3,5,3,0,12,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 327 °,degree,3,5,3,0,22,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 57 градусов в правую сторону,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот по левую руку 101 °,degree,3,5,4,0,7,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на восток на 316 °,degree,3,5,7,0,21,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй поворачивать в сторону юга 335 градусов,degree,3,5,6,0,23,0,0,0,0,0,0,0,0,generator,valid,-1
повернись в южную сторону 316 °,degree,3,5,6,0,21,0,0,0,0,0,0,0,0,generator,valid,-1
начни заворчивать 77 ° налево,degree,3,5,4,0,5,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй поворачивать налево на 103°,degree,3,5,4,0,7,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в западную сторону 261°,degree,3,5,8,0,18,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай в восточную сторону на 251 °,degree,3,5,7,0,17,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 349 ° в северную сторону,degree,3,5,5,0,23,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 318 градусов влево,degree,3,5,4,0,21,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 306 ° в западную сторону,degree,3,5,8,0,21,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в сторону запада на 315 градусов,degree,3,5,8,0,21,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай в западную сторону на 353 °,degree,3,5,8,0,24,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать направо 7 °,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать на 274 градуса,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 81 градус в западную сторону,degree,3,5,8,0,6,0,0,0,0,0,0,0,0,generator,valid,-1
поворачивай в северную сторону 212 градусов,degree,3,5,5,0,14,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на север на 153°,degree,3,5,5,0,10,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот налево 90 °,degree,3,5,4,0,6,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать на 280 ° на восточный край,degree,3,5,7,0,19,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 289 градусов,degree,3,5,3,0,19,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на запад 343 градуса,degree,3,5,8,0,23,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 168 градусов на север,degree,3,5,5,0,11,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай налево 60 °,degree,3,5,4,0,4,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 104 ° в западную сторону,degree,3,5,8,0,7,0,0,0,0,0,0,0,0,generator,train,-1
начинай заворчивать на восток на 312 градусов,degree,3,5,7,0,21,0,0,0,0,0,0,0,0,generator,train,-1
повернись 353° по левую руку,degree,3,5,4,0,24,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 153° на юг,degree,3,5,6,0,10,0,0,0,0,0,0,0,0,generator,valid,-1
пытайся поворачивать на 337 градусов в северную сторону,degree,3,5,5,0,23,0,0,0,0,0,0,0,0,generator,valid,-1
повернись 331 ° в южную сторону,degree,3,5,6,0,22,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 350 градусов,degree,3,5,3,0,24,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай в сторону севера 207°,degree,3,5,5,0,14,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 233 °,degree,3,5,3,0,16,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 117 градусов в восточную сторону,degree,3,5,7,0,8,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать 339° в правую сторону,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 107°,degree,3,5,3,0,7,0,0,0,0,0,0,0,0,generator,valid,-1
начни поворачивать на 322°,degree,3,5,3,0,22,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай 271 °,degree,3,5,3,0,18,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай в сторону севера на 323 градуса,degree,3,5,5,0,22,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай направо на 227 °,degree,3,5,3,0,15,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот направо на 248 градусов,degree,3,5,3,0,17,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 351 ° в сторону юга,degree,3,5,6,0,24,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 259 ° в сторону севера,degree,3,5,5,0,17,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот влево 60°,degree,3,5,4,0,4,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 307° в сторону востока,degree,3,5,7,0,21,0,0,0,0,0,0,0,0,generator,train,-1
повернись на южный край на 183 °,degree,3,5,6,0,12,0,0,0,0,0,0,0,0,generator,train,-1
начни заворчивать 7°,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот 208° в левую сторону,degree,3,5,4,0,14,0,0,0,0,0,0,0,0,generator,valid,-1
заворчивай на 137° на север,degree,3,5,5,0,9,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать 2 градуса по правую руку,degree,3,5,3,0,1,0,0,0,0,0,0,0,0,generator,train,-1
попробуй заворчивать на 357 ° на западный край,degree,3,5,8,0,24,0,0,0,0,0,0,0,0,generator,train,-1
повернись в западную сторону на 81 градус,degree,3,5,8,0,6,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй заворчивать по правую руку на 209 градусов,degree,3,5,3,0,14,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать на 93 ° влево,degree,3,5,4,0,6,0,0,0,0,0,0,0,0,generator,train,-1
повернись 307 °,degree,3,5,3,0,21,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 179 градусов,degree,3,5,3,0,12,0,0,0,0,0,0,0,0,generator,valid,-1
повернись 242 градуса на северный край,degree,3,5,5,0,16,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 122°,degree,3,5,3,0,8,0,0,0,0,0,0,0,0,generator,train,-1
повернись 245° на северный край,degree,3,5,5,0,17,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот на 89 градусов,degree,3,5,3,0,6,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать 78 градусов на север,degree,3,5,5,0,5,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 180 градусов по левую руку,degree,3,5,4,0,12,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот в восточную сторону на 34 градуса,degree,3,5,7,0,2,0,0,0,0,0,0,0,0,generator,train,-1
начинай заворчивать в сторону юга на 25 °,degree,3,5,6,0,2,0,0,0,0,0,0,0,0,generator,train,-1
повернись на южный край на 198 °,degree,3,5,6,0,13,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на 350 градусов вправо,degree,3,5,3,0,24,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 100 °,degree,3,5,3,0,7,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй заворчивать 305 ° на восток,degree,3,5,7,0,21,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 29 градусов направо,degree,3,5,3,0,2,0,0,0,0,0,0,0,0,generator,train,-1
повернись 117° в сторону севера,degree,3,5,5,0,8,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай в сторону юга на 335 градусов,degree,3,5,6,0,23,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай 234° на северный край,degree,3,5,5,0,16,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на восточный край 241 °,degree,3,5,7,0,16,0,0,0,0,0,0,0,0,generator,train,-1
повернись 240 ° на юг,degree,3,5,6,0,16,0,0,0,0,0,0,0,0,generator,train,-1
повернись на 154 градуса в восточную сторону,degree,3,5,7,0,10,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 210 °,degree,3,5,3,0,14,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать на север 110 °,degree,3,5,5,0,8,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 185 ° в сторону юга,degree,3,5,6,0,13,0,0,0,0,0,0,0,0,generator,train,-1
начни заворчивать 131° налево,degree,3,5,4,0,9,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать на 356 ° в сторону юга,degree,3,5,6,0,24,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай в восточную сторону на 358°,degree,3,5,7,0,24,0,0,0,0,0,0,0,0,generator,valid,-1
повернись 228 градусов на южный край,degree,3,5,6,0,15,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 19 градусов в левую сторону,degree,3,5,4,0,1,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 337 °,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
повернись на западный край 288°,degree,3,5,8,0,19,0,0,0,0,0,0,0,0,generator,train,-1
попробуй поворачивать на 275° в восточную сторону,degree,3,5,7,0,19,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 30 градусов,degree,3,5,3,0,2,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в сторону юга 292 градуса,degree,3,5,6,0,20,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на 105 градусов налево,degree,3,5,4,0,7,0,0,0,0,0,0,0,0,generator,valid,-1
начни заворчивать 297° направо,degree,3,5,3,0,20,0,0,0,0,0,0,0,0,generator,train,-1
пытайся поворачивать 336° на юг,degree,3,5,6,0,23,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 136 градусов на западный край,degree,3,5,8,0,9,0,0,0,0,0,0,0,0,generator,train,-1
начни поворачивать на 351 °,degree,3,5,3,0,24,0,0,0,0,0,0,0,0,generator,train,-1
повернись 211 градусов по левую руку,degree,3,5,4,0,14,0,0,0,0,0,0,0,0,generator,train,-1
начинай поворачивать на западный край 66 °,degree,3,5,8,0,5,0,0,0,0,0,0,0,0,generator,train,-1
повернись в северную сторону на 311°,degree,3,5,5,0,21,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй поворачивать в западную сторону на 130 градусов,degree,3,5,8,0,9,0,0,0,0,0,0,0,0,generator,train,-1
повернись на северный край 275°,degree,3,5,5,0,19,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот по левую руку 305 градусов,degree,3,5,4,0,21,0,0,0,0,0,0,0,0,generator,train,-1
повернись 297 градусов,degree,3,5,3,0,20,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 297 ° в сторону запада,degree,3,5,8,0,20,0,0,0,0,0,0,0,0,generator,train,-1
повернись в сторону юга на 339°,degree,3,5,6,0,23,0,0,0,0,0,0,0,0,generator,train,-1
повернись налево 184 °,degree,3,5,4,0,12,0,0,0,0,0,0,0,0,generator,train,-1
начни поворачивать на восточный край на 250°,degree,3,5,7,0,17,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот 337 °,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
повернись на восток 200°,degree,3,5,7,0,14,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 163 ° на юг,degree,3,5,6,0,11,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 208 градусов в сторону юга,degree,3,5,6,0,14,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 247 градусов на восток,degree,3,5,7,0,17,0,0,0,0,0,0,0,0,generator,valid,-1
заворчивай 342 градуса,degree,3,5,3,0,23,0,0,0,0,0,0,0,0,generator,train,-1
заворчивай на 51 °,degree,3,5,3,0,4,0,0,0,0,0,0,0,0,generator,train,-1
начни поворачивать на 175 градусов в сторону запада,degree,3,5,8,0,12,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай 350 ° в сторону востока,degree,3,5,7,0,24,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот влево на 266°,degree,3,5,4,0,18,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай в южную сторону на 246 °,degree,3,5,6,0,17,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот 349° в северную сторону,degree,3,5,5,0,23,0,0,0,0,0,0,0,0,generator,valid,-1
повернись 9 градусов на южный край,degree,3,5,6,0,1,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот в левую сторону на 348 °,degree,3,5,4,0,23,0,0,0,0,0,0,0,0,generator,train,-1
поворачивай на 184 градуса,degree,3,5,3,0,12,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот на 259°,degree,3,5,3,0,17,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 303 °,degree,3,5,3,0,20,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот 224 ° вправо,degree,3,5,3,0,15,0,0,0,0,0,0,0,0,generator,train,-1
пытайся заворчивать на запад на 351 градус,degree,3,5,8,0,24,0,0,0,0,0,0,0,0,generator,valid,-1
попробуй поворачивать 100 градусов на юг,degree,3,5,6,0,7,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот в сторону запада на 87 °,degree,3,5,8,0,6,0,0,0,0,0,0,0,0,generator,valid,-1
соверши поворот в сторону востока 53 °,degree,3,5,7,0,4,0,0,0,0,0,0,0,0,generator,train,-1
сделай поворот в южную сторону на 214 °,degree,3,5,6,0,14,0,0,0,0,0,0,0,0,generator,valid,-1
сделай поворот налево 204 °,degree,3,5,4,0,14,0,0,0,0,0,0,0,0,generator,train,-1
соверши поворот на 209° на северный край,degree,3,5,5,0,14,0,0,0,0,0,0,0,0,generator,train,-1
